,Brainstem,SpinalCord,Esophagus,Larynx,Mandible_Bone,Parotid_L,Parotid_R,Acoustic_L,Acoustic_R,Lens_L,Lens_R,Eye_L,Eye_R,Nrv_Optic_L,Nrv_Optic_R,OpticChiasm
10,0.8268077862482421,0.8530514831230822,0.5959367945823928,0.35965009412025245,0.8807365573537089,0.8224998851577932,0.8366692526506335,0.31959629941127,0.31072961373390556,0.673202614379085,0.6713780918727915,0.874076101834109,0.8875674180611257,0.5739910313901345,0.5949214026602176,0.6639089968976215
11,0.8490469786207856,0.8589007868425723,0.7125075528700906,0.3221111111111111,0.8869831276386049,0.8792308119824376,0.897824728801045,0.34811165845648606,0.37014314928425357,0.7947598253275109,0.723404255319149,0.9080034178296782,0.901416678837447,0.6757575757575758,0.6448736998514116,0.0
12,0.8310740824138707,0.8397143040988353,0.7906793048973144,0.3986992361793844,0.8873463904218748,0.8653022777872923,0.8511541072640869,0.4349775784753363,0.3841698841698842,0.833976833976834,0.8222222222222222,0.8711752706731524,0.8632228719948019,0.6050228310502284,0.7137452711223203,0.39627906976744187
13,0.8995868667101544,0.8654385482540555,0.6560754623308924,0.390506606550191,0.8762674271229405,0.9003979533826038,0.8507377685736475,0.41384995877988456,0.29133858267716534,0.6,0.6574074074074074,0.9288401253918496,0.9147022332506204,0.7142857142857143,0.7347611202635914,0.6915887850467289
14,0.8485477921426781,0.8393201488856002,0.5618898186889819,0.36664930637753895,0.8919198402510341,0.891070820978953,0.9036421116452298,0.3586321934945788,0.3103825136612022,0.728744939271255,0.7679324894514767,0.9137145377039542,0.900898247680754,0.6482593037214885,0.7321428571428571,0.7009267059814659
15,0.8570464988828465,0.805650179406822,0.603237132825212,0.337442218798151,0.8872944803288315,0.849689011748445,0.8863338496366019,0.36228287841191065,0.35678391959798994,0.7132352941176471,0.4634146341463415,0.8351119795580941,0.8887892376681614,0.49066002490660027,0.6588003933136677,0.5714285714285714
16,0.8384287482238622,0.8516269477543538,0.7345436292144232,0.4508837525492862,0.8670414385380235,0.8457268224578666,0.8767585164515754,0.39364303178484106,0.28488372093023256,0.5524475524475524,0.6810035842293907,0.8601020250425104,0.8833716475095785,0.6026315789473684,0.6411238825031929,0.10119047619047619
17,0.8550614146548073,0.8555246325862995,0.5842656403830663,0.4290320269398868,0.8721438988818668,0.8356871419658556,0.8226177503329701,0.30637488106565175,0.36327739387956565,0.5714285714285714,0.6666666666666666,0.8658991910392034,0.8824965132496513,0.7520161290322581,0.7365010799136069,0.5811659192825112
18,0.8318828567481696,0.8428040361125863,0.7473150717992035,0.36999862505156056,0.8813479770956538,0.8451022483335217,0.8848749952863985,0.4207533759772566,0.417027417027417,0.6213592233009708,0.6344086021505376,0.9284032682453954,0.8918607995398332,0.43296432964329645,0.49019607843137253,0.626
19,0.7370214083852735,0.8549566891241579,0.5686733958183129,0.31696639848556557,0.8727048853800746,0.8637639781108731,0.8747135217723453,0.30639324487334135,0.31752178121974833,0.6846846846846847,0.6255924170616114,0.8720699245133094,0.8501540832049307,0.6007702182284981,0.6232073011734028,0.44785276073619634
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.8381205120199813,0.8501600853788688,0.5162516251625162,0.334718588066287,0.8658312188886091,0.8002032004064008,0.803662150719729,0.3432406519654842,0.3057324840764331,0.6744186046511628,0.71,0.8051470588235294,0.8735861610113107,0.5669291338582677,0.6037296037296037,0.5801376597836775
22,0.8378594585491137,0.8126773888363292,0.6147559089905015,0.3464893552125907,0.8830994008043995,0.8181026979982594,0.8808612684320628,0.3660130718954248,0.33238366571699907,0.8027210884353742,0.6825938566552902,0.9048614013093745,0.8651749856569134,0.5680933852140078,0.6625766871165644,0.4708209693372898
